"[r IN relationships(path) | r.name + "": "" + type(r)]",total_dist
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Gurdum: twowheeler,Gurdum-Sandakphu: twowheeler]",48
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Sabargram: trek,Rammam-Sabargram: trek]",55
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Sabargram: trek,Rammam-Sabargram: trek]",55
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: trek,Sirikhola-Rammam: trek,Rammam-Sabargram: trek,Rammam-Sabargram: trek]",55
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Sabargram: trek,Rammam-Sabargram: trek]",55
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Sabargram: trek,Rammam-Sabargram: trek]",55
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: trek,Rammam-Sabargram: trek,Rammam-Sabargram: trek]",55
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Sabargram: trek,Rammam-Sabargram: trek]",55
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Sabargram: trek,Rammam-Sabargram: trek]",55
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: trek,Sirikhola-Rammam: twowheeler,Rammam-Sabargram: trek,Rammam-Sabargram: trek]",55
"[Darjeeling-Rimbik: PublicTransport,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Sabargram: trek,Rammam-Sabargram: trek]",55
"[Darjeeling-Rimbik: road,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Sabargram: trek,Rammam-Sabargram: trek]",55
"[Darjeeling-Rimbik: trek,Rimbik-Sirikhola: twowheeler,Sirikhola-Rammam: twowheeler,Rammam-Sabargram: trek,Rammam-Sabargram: trek]",55
